profile_id,name,approach_family,range_band,n,speed_mps,base_bearing_rad,spread_doctrine,spread_deg,launch_delay_s,salvo_interval_s,u_boat_initial_speed_mps,u_pos_x,u_pos_y,range_to_centroid_m,bearing_error_deg,severity,flag_count,suggested_label,flags,source,generator_version,mode,seed,convoy_profile
D000031,dataset_000031_west_abeam_medium_uniform_random,west_abeam,medium,4,15.4333,-0.2470014281190598,uniform_divergent,4.0,0.5,1.5,1.5,-2020.3821312308016,348.771954031604,2050.264819996612,4.357884758015682,5.229461709618818,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000032,dataset_000032_east_abeam_medium_uniform_random,east_abeam,medium,4,15.4333,-3.0946680813374794,uniform_divergent,6.5,0.9,2.5,1.5,2155.4536033358627,256.8975217870893,2170.708771999114,4.108150196666532,4.929780235999838,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000033,dataset_000033_south_east_quarter_long_uniform_random,south_east_quarter,long,4,15.4333,2.29833417903938,uniform_divergent,4.0,1.1,3.0,1.7,1901.8553871531901,-2539.31593925781,3172.5666822010826,4.852971096655322,5.823565315986387,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000034,dataset_000034_west_abeam_medium_uniform_random,west_abeam,medium,4,15.4333,0.08581241312553572,uniform_divergent,6.5,0.7,1.5,1.7,-2221.6642340351673,-149.57726358995686,2226.6938106920147,1.0649676141963107,1.2779611370355728,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000035,dataset_000035_south_west_quarter_close_uniform_random,south_west_quarter,close,4,15.4333,0.9179693587827009,uniform_divergent,6.5,1.6,2.0,1.0,-662.6970311576592,-899.2490520558439,1117.0569424736186,1.0160600123835848,1.2192720148603018,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000036,dataset_000036_east_abeam_medium_uniform_random,east_abeam,medium,4,15.4333,2.9879934542166264,uniform_divergent,8.0,2.4,2.0,1.2,2218.3187632026597,-337.1747132464755,2243.7969877931964,0.1580291378251724,0.18963496539020686,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000037,dataset_000037_east_abeam_medium_uniform_random,east_abeam,medium,4,15.4333,-3.060851772722867,uniform_divergent,8.0,1.0,2.5,1.5,2266.495048860272,244.91866376822492,2279.6896627326582,1.5413690292372102,1.849642835084652,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000038,dataset_000038_north_east_quarter_medium_uniform_random,north_east_quarter,medium,4,15.4333,-2.1111684185418875,uniform_divergent,6.000000000000001,1.4,3.0,1.6,1149.856896780957,1757.3912188866714,2100.141609343216,2.235588175889735,2.6827058110676822,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000039,dataset_000039_west_abeam_close_uniform_random,west_abeam,close,4,15.4333,0.2166383409634912,uniform_divergent,4.0,2.2,2.0,1.0,-1349.1577794856453,-224.45192485088356,1367.7007642448343,2.966987621960382,3.5603851463524583,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
D000040,dataset_000040_south_west_quarter_close_uniform_random,south_west_quarter,close,4,15.4333,0.9082144814210977,uniform_divergent,5.5,0.9,1.5,1.9,-707.4950452924415,-769.8088260008387,1045.5404667932005,4.621509698449406,5.545811638139288,0,credible_hit_threat,,generate_attack_profile_scaffold,v2,dataset,1945,convoy_layout_1
