source_id,source_label,profile_id,u_pos,u_pos_x,u_pos_y,spawn_region,approach_side,inside_convoy_envelope,suggested_label,actual_outcome_label,clearance_m,n_hits,unique_ships_hit,closest_any_ship_distance_m,closest_any_ship_id
curated_v4,Curated v4,VAE000001,"[127.014404296875, 5683.83154296875]",127.014404296875,5683.83154296875,port_vae,port,False,credible_hit_threat,credible_hit_threat,1572.3166398932683,3,1,3.2540293682024806,S34
curated_v4,Curated v4,VAE000003,"[-197.35430908203125, -3557.861328125]",-197.35430908203125,-3557.861328125,inside_convoy_envelope,inside,True,credible_hit_threat,credible_hit_threat,557.8144650605874,3,2,9.500546238658853,S41
curated_v4,Curated v4,VAE000004,"[-592.7037353515625, 1095.6478271484375]",-592.7037353515625,1095.6478271484375,inside_convoy_envelope,inside,True,credible_hit_threat,credible_hit_threat,291.2327526103314,2,2,15.669369784838683,S29
curated_v4,Curated v4,VAE000005,"[-3657.54248046875, -178.96942138671875]",-3657.54248046875,-178.96942138671875,astern_vae,astern,False,credible_hit_threat,credible_hit_threat,2520.903397568703,3,2,7.0315583006625815,S18
curated_v4,Curated v4,VAE000007,"[2135.45263671875, 1741.9942626953125]",2135.45263671875,1741.9942626953125,ahead_vae,ahead,False,credible_hit_threat,credible_hit_threat,1059.3177738372954,2,1,20.414671186245823,S28
curated_v4,Curated v4,VAE000009,"[3286.49658203125, -3340.3076171875]",3286.49658203125,-3340.3076171875,ahead_vae,ahead,False,credible_hit_threat,credible_hit_threat,2225.1101329334206,3,2,7.832356469025895,S38
curated_v4,Curated v4,VAE000010,"[-364.89093017578125, -3815.77734375]",-364.89093017578125,-3815.77734375,inside_convoy_envelope,inside,True,credible_hit_threat,credible_hit_threat,328.6179645104402,3,1,3.4531095679544364,S09
curated_v4,Curated v4,VAE000011,"[2120.84521484375, -1049.1275634765625]",2120.84521484375,-1049.1275634765625,ahead_vae,ahead,False,credible_hit_threat,credible_hit_threat,1029.6454421353897,3,2,2.543844538749047,S08
curated_v4,Curated v4,VAE000012,"[-861.8428344726562, -6079.328125]",-861.8428344726562,-6079.328125,starboard_vae,starboard,False,credible_hit_threat,credible_hit_threat,1972.400018628368,3,1,2.250968813463838,S22
curated_v4,Curated v4,VAE000013,"[2656.40283203125, -4306.08203125]",2656.40283203125,-4306.08203125,ahead_vae,ahead,False,credible_hit_threat,credible_hit_threat,1525.4431970674405,4,2,6.997572572149667,S30
curated_v4,Curated v4,VAE000014,"[-2590.54345703125, -2374.380859375]",-2590.54345703125,-2374.380859375,astern_vae,astern,False,credible_hit_threat,credible_hit_threat,1493.7903529228408,2,2,59.191817836062526,S25
curated_v4,Curated v4,VAE000015,"[2190.738525390625, 760.066650390625]",2190.738525390625,760.066650390625,ahead_vae,ahead,False,credible_hit_threat,credible_hit_threat,1213.1484061202832,3,1,7.180994791633334,S20
curated_v4,Curated v4,VAE000017,"[-114.33517456054688, -2101.65869140625]",-114.33517456054688,-2101.65869140625,inside_convoy_envelope,inside,True,credible_hit_threat,credible_hit_threat,651.63770683171,4,1,3.468296472310675,S01
curated_v4,Curated v4,VAE000018,"[3511.391357421875, -558.5773315429688]",3511.391357421875,-558.5773315429688,ahead_vae,ahead,False,credible_hit_threat,credible_hit_threat,2433.3693219945662,3,2,34.57285524550463,S33
curated_v4,Curated v4,VAE000019,"[-683.1831665039062, 921.5846557617188]",-683.1831665039062,921.5846557617188,inside_convoy_envelope,inside,True,credible_hit_threat,credible_hit_threat,450.02295260069235,4,1,9.466835564135183,S19
curated_v4,Curated v4,VAE000021,"[3769.78173828125, -2393.5966796875]",3769.78173828125,-2393.5966796875,ahead_vae,ahead,False,credible_hit_threat,credible_hit_threat,2649.944297931824,3,2,13.786150195868805,S38
curated_v4,Curated v4,VAE000022,"[-720.4028930664062, 4926.6494140625]",-720.4028930664062,4926.6494140625,port_vae,port,False,credible_hit_threat,credible_hit_threat,812.5865069776823,3,3,37.472196219021804,S40
