profile_id,name,belief_score,u_pos_x,u_pos_y,estimated_range_m,estimated_bearing_rad,estimated_convoy_heading_rad,estimated_convoy_speed_mps,estimated_contact_count,estimated_formation_width_m,estimated_formation_depth_m,estimated_contact_density_per_km2,estimated_aspect_rad,projected_target_span_m,bearing_alignment_error_rad,range_score,bearing_alignment_score,aspect_score,formation_span_score,contact_density_score,spread_score,contact_score,inside_score,uncertainty_score,spawn_region,approach_side,inside_convoy_envelope,spread_rad,launch_delay_s,salvo_interval_s,u_boat_initial_speed_mps,candidate_source_label,selector_method,belief_rank
VAE000766,vae_candidate_000766,1.0122761565331084,-143.002197265625,-2080.208984375,2528.8769547356424,1.495869029435859,-0.19099405494414423,5.631150667533929,40,8476.292187227298,2362.8809685941615,1.997157097455491,1.4547295692097901,3328.5913885784125,0.08888000360838301,0.996865175375173,0.9980263859921353,0.9932718122096773,1.0,0.24964463718193639,0.9847210819774889,0.9523809523809523,1.0,0.29011828463537415,inside_convoy_envelope,inside,True,0.09809483587741852,0.8582721948623657,2.0946741104125977,1.1107302904129028,vae_candidate_pool_v1,belief_limited_heuristic_v1,1
VAE000270,vae_candidate_000270,1.010117340382972,-244.95556640625,2109.7021484375,2598.965728101768,-1.3840257235221471,-0.10804094742547717,6.919568073494492,43,8168.71656581122,2559.223533631028,2.056867933052626,-1.865607877493123,4822.309232575698,0.055623525507255474,0.9925444980946315,0.9992267052630346,0.9568569150529193,1.0,0.25710849163157823,0.9995166684559382,1.0,1.0,0.2775410653262176,inside_convoy_envelope,inside,True,0.08918523043394089,0.7178706526756287,2.968291759490967,1.107508897781372,vae_candidate_pool_v1,belief_limited_heuristic_v1,2
VAE001091,vae_candidate_001091,1.0073927336553066,261.50244140625,2069.8974609375,2121.5735013172007,-1.6860755047679865,0.013757700003352448,6.510537370496548,41,7862.300810797963,1991.537782402053,2.6184582327707977,-1.4417594488184542,2986.6944037971152,0.16825787801361525,0.9854525389731064,0.9929390037156997,0.9916862873048777,1.0,0.3273072790963497,0.994881060399858,0.9761904761904762,1.0,0.32985353487235286,inside_convoy_envelope,inside,True,0.09351810812950134,0.8803181052207947,2.317575693130493,1.786739706993103,vae_candidate_pool_v1,belief_limited_heuristic_v1,3
VAE000201,vae_candidate_000201,1.003881698715354,-26.97357177734375,-2005.962158203125,2385.8178256011684,1.579478047688624,-0.03540420867584745,5.868380760270579,43,8383.579788190347,2399.9703032179777,2.137140555324071,1.5267103972253218,2767.11662330343,0.3480693068677032,0.9999619791593551,0.9700164960434929,0.9990283727910125,1.0,0.2671425694155089,0.9185434681854188,1.0,1.0,0.29085445927230386,inside_convoy_envelope,inside,True,0.06182921677827835,0.8589439988136292,2.3810243606567383,1.3836054801940918,vae_candidate_pool_v1,belief_limited_heuristic_v1,4
VAE000142,vae_candidate_000142,1.0029477818196655,223.7881622314453,1955.8724365234375,2399.0016427001224,-1.677027935737655,0.03898883932112578,5.852447481080971,41,8338.158969228729,2410.1039110960137,2.0402243118210306,-1.4255758785310124,3591.354889172946,0.31567274640507414,0.9999998115846495,0.9752938679265735,0.9894740287236533,1.0,0.2550280389776288,0.9316612025745132,0.9761904761904762,1.0,0.28998320265306676,inside_convoy_envelope,inside,True,0.0640486553311348,2.132685899734497,2.9419219493865967,1.1710602045059204,vae_candidate_pool_v1,belief_limited_heuristic_v1,5
VAE000732,vae_candidate_000732,1.002461991477112,671.5775146484375,3068.540283203125,2861.579568934021,-1.8113512698369814,-0.06473392670351232,4.530074456202639,44,8761.068460902958,2708.7440536891686,1.8540764238231966,-1.394975310456324,4199.439971507636,0.12585238110029115,0.960525086168119,0.9960455182067172,0.9845832614091288,1.0,0.23175955297789957,0.9653182267745519,1.0,1.0,0.2649557768878589,inside_convoy_envelope,inside,True,0.10366175323724747,1.7097830772399902,1.9589869976043701,1.8730581998825073,vae_candidate_pool_v1,belief_limited_heuristic_v1,6
VAE000012,vae_candidate_000012,1.0019743226583302,-72.92568969726562,2110.332763671875,2275.4805427401643,-1.4409778536601663,-0.07727588446299499,3.686157447749235,45,8426.339393311113,2478.713540123447,2.154503615022536,-1.7778906843926219,4158.350061665058,0.26253022643107804,0.9970732713517716,0.9828682066932308,0.9786324951598575,1.0,0.269312951877817,0.9126791355460544,1.0,1.0,0.2888318040065127,inside_convoy_envelope,inside,True,0.060887888073921204,0.7731173634529114,1.5156934261322021,1.7997565269470215,vae_candidate_pool_v1,belief_limited_heuristic_v1,7
VAE000119,vae_candidate_000119,1.0018790011428549,-348.427734375,-1952.29296875,2308.087708204031,1.5655237180383053,-0.037402977460662276,5.7650684983798115,43,8361.24347013205,2971.596360527825,1.730644107460447,1.5386659580908264,3238.6662269809917,0.024890941603449956,0.9984043237132615,0.9998451182533025,0.9994838641089586,1.0,0.21633051343255588,0.8153971283666647,1.0,1.0,0.26571057909690143,inside_convoy_envelope,inside,True,0.04784364998340607,1.6835683584213257,2.4629642963409424,1.365951657295227,vae_candidate_pool_v1,belief_limited_heuristic_v1,8
VAE001076,vae_candidate_001076,1.0007897954168898,-879.2369995117188,3166.439697265625,2914.9398162420403,-1.3377602855379673,0.10997597642138446,4.7645156053656805,41,8344.318966349621,3404.0197057193677,1.443447173053756,-1.6938563916304412,4402.540011611902,0.25816776430093413,0.951110211033992,0.9834296939540982,0.9924376609848539,1.0,0.1804308966317195,0.9927311621778053,0.9761904761904762,1.0,0.23994938958462342,inside_convoy_envelope,inside,True,0.09472015500068665,0.883456289768219,1.513517141342163,1.8209296464920044,vae_candidate_pool_v1,belief_limited_heuristic_v1,9
VAE000977,vae_candidate_000977,0.9993143786108054,266.3055725097656,2096.375,2229.56363474012,-1.7209564485715758,0.04875508311574659,4.6740270017567385,41,7309.516284060568,2328.1925902014455,2.409219202746261,-1.3718811219024707,3726.6887501853125,0.08473197409327904,0.9945238290388418,0.9982061967455829,0.9802815166555184,1.0,0.3011524003432826,0.8661120412986721,0.9761904761904762,1.0,0.3008598038326788,inside_convoy_envelope,inside,True,0.12035196274518967,0.7821057438850403,1.5063632726669312,1.8712807893753052,vae_candidate_pool_v1,belief_limited_heuristic_v1,10
