profile_id,name,belief_score,u_pos_x,u_pos_y,estimated_range_m,estimated_bearing_rad,estimated_convoy_heading_rad,estimated_convoy_speed_mps,estimated_contact_count,estimated_formation_width_m,estimated_formation_depth_m,estimated_contact_density_per_km2,estimated_aspect_rad,projected_target_span_m,bearing_alignment_error_rad,range_score,bearing_alignment_score,aspect_score,formation_span_score,contact_density_score,spread_score,contact_score,inside_score,uncertainty_score,inside_uncertainty_penalty,spawn_region,approach_side,inside_convoy_envelope,spread_rad,launch_delay_s,salvo_interval_s,u_boat_initial_speed_mps,candidate_source_label,selector_method,belief_rank
VAE001218,vae_candidate_001218,0.917314521031191,469.57196044921875,-2328.4677734375,2230.6354660342668,1.7838572777416066,-0.014538711524360946,5.042866520019362,40,8391.920098840677,2370.110249609663,2.0110834994540037,1.3431966643238253,4202.537709935772,0.3178884916260567,0.9945923029962709,0.9749487557244432,0.9742108125387232,1.0,0.25138543743175046,0.8484603398801489,0.9523809523809523,1.0,0.07643096132601244,0.07643096132601244,inside_convoy_envelope,inside,True,0.05189049243927002,1.2797236442565918,2.961656093597412,1.2631051540374756,vae_candidate_pool_v1,belief_limited_heuristic_v1,1
VAE000977,vae_candidate_000977,0.9157573627720306,266.3055725097656,2096.375,2235.5265016149388,-1.7181791851314803,0.02456994164987681,4.959694996164921,37,8378.446103159902,2540.5777229023865,1.7382240645220133,-1.398843526808436,3936.718630685271,0.0819547106531835,0.9948993416708016,0.9983217959811783,0.9852525086030017,0.9373139596869693,0.21727800806525166,0.8661120412986721,0.8809523809523809,1.0,0.07418937314001478,0.07418937314001478,inside_convoy_envelope,inside,True,0.12035196274518967,0.7821057438850403,1.5063632726669312,1.8712807893753052,vae_candidate_pool_v1,belief_limited_heuristic_v1,2
VAE000476,vae_candidate_000476,0.9156849114586392,970.9406127929688,-2228.049560546875,2399.689048502376,1.9919173753423742,-0.021864820302537256,5.354276847282159,38,8314.06579819721,2256.6907812563722,2.0253406743394167,1.1278104579448824,5602.598699507122,0.24667057543015036,0.9999999817219597,0.9848653813921918,0.9034758326147213,1.0,0.2531675842924271,0.970662153558306,0.9047619047619048,1.0,0.07703031840850622,0.07703031840850622,inside_convoy_envelope,inside,True,0.10232512652873993,1.0386145114898682,2.4800455570220947,1.166490077972412,vae_candidate_pool_v1,belief_limited_heuristic_v1,3
VAE000995,vae_candidate_000995,0.9142686260535514,551.3719482421875,2318.94140625,2283.402599199828,-1.8302472300800934,0.015028024796595547,4.920082823791822,36,8346.3015340728,2382.385724938322,1.81049092307489,-1.2963173987131043,4555.431537017714,0.10958685189600836,0.9974333648851474,0.9970006839112006,0.962566562448268,1.0,0.22631136538436125,0.8364401723913041,0.8571428571428571,1.0,0.07588240145245942,0.07588240145245942,inside_convoy_envelope,inside,True,0.12414625287055969,1.7994318008422852,1.5161569118499756,1.8145631551742554,vae_candidate_pool_v1,belief_limited_heuristic_v1,4
VAE000270,vae_candidate_000270,0.9122724766932037,-244.95556640625,2109.7021484375,2176.3048397827915,-1.4897144798941326,-0.03277014500627961,5.085388073226621,37,8299.251876029173,2470.7851514680715,1.8043791332335533,-1.68464831870194,3397.6353090526795,0.16131228187924096,0.9905853307074929,0.9935086814980802,0.9935258598035593,0.8089607878696856,0.22554739165419416,0.9995166684559382,0.8809523809523809,1.0,0.07553315652868624,0.07553315652868624,inside_convoy_envelope,inside,True,0.08918523043394089,0.7178706526756287,2.968291759490967,1.107508897781372,vae_candidate_pool_v1,belief_limited_heuristic_v1,5
VAE001061,vae_candidate_001061,0.9115804212412646,-699.7500610351562,1907.180419921875,2189.586421377356,-1.216082085955713,0.019249920336854173,5.030115877622777,34,8440.233917663938,2468.381068848446,1.6319702104846714,-1.9062606472972259,5109.3769878589865,0.24957175371149476,0.9916655731510459,0.9845091413439648,0.9442575535676482,1.0,0.20399627631058392,0.9484087959090742,0.8095238095238095,1.0,0.07542348251347797,0.07542348251347797,inside_convoy_envelope,inside,True,0.06718196719884872,2.0349321365356445,1.501373529434204,1.2951470613479614,vae_candidate_pool_v1,belief_limited_heuristic_v1,6
VAE000775,vae_candidate_000775,0.9113219783972817,632.5062866210938,2150.01318359375,2385.275040805478,-1.8600349476266902,0.02732794412403545,4.737146218407972,35,8276.891528850274,2515.4942013012064,1.681037726459091,-1.2542297618390674,4967.141428803721,0.37044614749362337,0.9999590132363356,0.9660829595020038,0.9503098647993019,1.0,0.21012971580738637,0.9183209603131381,0.8333333333333334,1.0,0.0734611930231557,0.0734611930231557,inside_convoy_envelope,inside,True,0.06179297715425491,2.0742435455322266,2.413447380065918,1.251239538192749,vae_candidate_pool_v1,belief_limited_heuristic_v1,7
VAE000766,vae_candidate_000766,0.9051758374796535,-143.002197265625,-2080.208984375,2237.9101523755744,1.4912064493214205,-0.03143484042808006,4.3835864542401,38,8175.119232034271,2518.696442296867,1.8454983975911192,1.6189513638402924,2909.2977329211603,0.08421742349394457,0.9950457498997537,0.9982279041600195,0.9988407702417779,0.6926899364098,0.2306872996988899,0.9847210819774889,0.9047619047619048,1.0,0.07448115649770605,0.07448115649770605,inside_convoy_envelope,inside,True,0.09809483587741852,0.8582721948623657,2.0946741104125977,1.1107302904129028,vae_candidate_pool_v1,belief_limited_heuristic_v1,8
VAE000593,vae_candidate_000593,0.904417120919896,314.5001525878906,2423.236328125,2317.511691201276,-1.7223473846572908,0.027008185938622135,5.253260883598489,33,8151.591468868283,2517.195790548359,1.6082536174733806,-1.3922370829938802,3924.9936356634626,0.3364481733234912,0.9987145658038856,0.9719666023731823,0.9841006095460202,0.9345222942055863,0.20103170218417257,0.8666149324098802,0.7857142857142857,1.0,0.07392385794438894,0.07392385794438894,inside_convoy_envelope,inside,True,0.05424783378839493,1.1882416009902954,1.9220961332321167,1.7435647249221802,vae_candidate_pool_v1,belief_limited_heuristic_v1,9
VAE000685,vae_candidate_000685,0.9039620901513185,375.30279541015625,2475.17041015625,2437.675277682216,-1.771489607787553,-0.059567396617342235,4.680133291101533,37,8272.644831447316,2510.8593588514873,1.7812913446790777,-1.4296704424195823,3649.509851443656,0.39164719708171436,0.9997317133963416,0.9621407800671704,0.9900582592268,0.8689309170103943,0.2226614180848847,0.8703328998683916,0.8809523809523809,1.0,0.0731933424980008,0.0731933424980008,inside_convoy_envelope,inside,True,0.05474527180194855,2.0412657260894775,1.4829988479614258,1.0548449754714966,vae_candidate_pool_v1,belief_limited_heuristic_v1,10
